LOAN,REASON,ID,BAD
1100,HomeImp,1,1
1300,HomeImp,2,1
1500,HomeImp,3,1
1500,,4,1
1700,HomeImp,6,1
1800,HomeImp,7,1
1800,HomeImp,8,1
2000,HomeImp,9,1
2000,HomeImp,10,1
2000,,11,1
2000,HomeImp,12,1
2000,HomeImp,13,1
2100,HomeImp,15,1
2200,HomeImp,16,1
2200,HomeImp,17,1
2200,,18,1
2300,HomeImp,19,1
2300,HomeImp,21,1
2400,HomeImp,22,1
2400,HomeImp,23,1
2400,HomeImp,24,1
2400,HomeImp,25,1
2400,HomeImp,26,1
2500,HomeImp,28,1
2500,HomeImp,29,1
2800,HomeImp,32,1
2800,HomeImp,33,1
2900,DebtCon,34,1
2900,HomeImp,37,1
2900,DebtCon,38,1
3000,HomeImp,40,1
3000,HomeImp,41,1
3000,HomeImp,42,1
3000,HomeImp,43,1
3000,DebtCon,44,1
3000,HomeImp,45,1
3000,HomeImp,46,1
3000,HomeImp,47,1
3000,HomeImp,48,1
3100,HomeImp,51,1
3200,HomeImp,54,1
3200,HomeImp,55,1
3200,HomeImp,56,1
3200,HomeImp,58,1
3300,HomeImp,59,1
3300,DebtCon,60,1
3400,HomeImp,61,1
3500,HomeImp,62,1
3500,HomeImp,63,1
3600,HomeImp,64,1
3600,HomeImp,65,1
3600,DebtCon,69,1
3700,HomeImp,71,1
3800,HomeImp,72,1
3900,HomeImp,76,1
3900,HomeImp,77,1
3900,DebtCon,80,1
4000,HomeImp,83,1
4000,HomeImp,84,1
4000,HomeImp,85,1
4000,DebtCon,86,1
4000,HomeImp,87,1
4000,HomeImp,88,1
4000,DebtCon,89,1
4000,HomeImp,90,1
4000,HomeImp,91,1
4000,HomeImp,96,1
4000,DebtCon,97,1
4100,HomeImp,100,1
4100,HomeImp,101,1
4200,HomeImp,104,1
4400,DebtCon,114,1
4500,HomeImp,117,1
4500,HomeImp,120,1
4500,HomeImp,121,1
4500,DebtCon,122,1
4500,HomeImp,124,1
4500,HomeImp,125,1
4700,HomeImp,129,1
4700,HomeImp,131,1
4900,HomeImp,137,1
4900,HomeImp,139,1
4900,HomeImp,142,1
5000,HomeImp,150,1
5000,HomeImp,151,1
5000,HomeImp,152,1
5000,HomeImp,153,1
5000,HomeImp,154,1
5000,HomeImp,155,1
5000,HomeImp,156,1
5000,HomeImp,157,1
5000,HomeImp,158,1
5000,HomeImp,159,1
5000,HomeImp,160,1
5000,HomeImp,161,1
5000,HomeImp,162,1
5000,HomeImp,163,1
5000,HomeImp,164,1
5000,HomeImp,165,1
5000,HomeImp,166,1
5000,HomeImp,176,1
5000,HomeImp,179,1
5000,HomeImp,180,1
5000,HomeImp,181,1
5000,DebtCon,182,1
5000,DebtCon,183,1
5000,DebtCon,184,1
5000,HomeImp,185,1
5000,DebtCon,186,1
5000,HomeImp,188,1
5000,HomeImp,192,1
5100,HomeImp,198,1
